titleJobs,comanyName,companyLocation,employeeRank,workType,skill,link,workModality,industry ,date
Mid. QA Automation Engineer - Buenos Aires,Devlane,Buenos Aires y alrededores ,De 51 a 200 empleados,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3723261581/?eBP=CwEAAAGKs9ytnvVmfuPsJ24oVGsHRQVBCYvrnq0nI0MmqyAcPwhG8EfbMz0P57CAuwwHAAgMY7S8mMUP1hPuw3YvZyNMZfF0T52kaWNlzjkj-usw1E32Xp9xmFeZJIDI6BYpjjCH3zIAnwaoA2wrpdfl2D0fNYTFMUc7V8OcANUvd3kHhuEdZ65WeIwxPBaUU74rmv0bv6OfLGTMtQhuDI7YigSK0ONTuifQJlc-bkKpc1wu4sq9vMVk9IQYs8H-JBkge5G95uTAbjrNT7wO5Ks-Viv2S0wIh8vGx2Lck5Y0tJT5twTFnmz-4joXSvQRJPTq4bVtt05il2xXEj7r2epX83144t6VROD97Sz2VQtWOnSXciNLxQn1e4ShlDNhOfm8wSIIb9ZVwji0y7iMf5AJXrWt1NkFObyizftN4XQ&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=BKtpzRWycj%2BFZg3DvUUNDw%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,Dato no encontrado,2023-09-20 00:00:00
Data Scientist,Rocbird,"Córdoba, Córdoba, Argentina ",De 11 a 50 empleados,Jornada completa,"['Análisis de datos', 'Ciencia de datos', 'Microsoft Power BI', 'Python', 'Gestión de riesgos', 'Modelos predictivos']",https://www.linkedin.com/jobs/view/3723215447/?eBP=CwEAAAGKs9ytnlSYYSARvl6kyWnh-2ROfNUL0c8Kx1p4PlY_a6eC78xcP9fU--30a_gOmTrpGPTzvXvQxxRFgGHE6mhETh4mn5wwdrI_DOe7PR9fja-Crt3ZA0IeNmrr52mymXWczynJOxs0YNHzVP_gQbEIFo_u4UjCIsHVJTfXwYNDjueDTSnMH0enXlXWVA9FdR4PjZBXwh5gAf6lvKgi-TapoBaAB1pz54q1qgHRj0awPv28LBSAD3jO-gvq-zv7EfdeHUD0gYu2ebGeO9fZsDRiDjx6IccD1cb8SgGjR-S1f9ER5lpjzoW_OJDppUSsRrHc2JkmIuwlCA_9O9S4ax57-KGwJn5gMUnos3sZxdH6xhIYh5G1bt5aB1DESHi3WjSaZZIqX0vj4DuB3cEfr3tndvSQbMFB7Ohg94I&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=oROoAwqEcrIFWjQrqgSNhg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,Dato no encontrado,2023-09-20 00:00:00
Financial Analyst I - Pto. Madero,Worley,"Buenos Aires, Provincia de Buenos Aires, Argentina ",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3725055225/?eBP=CwEAAAGKs9ytnpC7EOYVuGKZ50YfNBAI1uXurs_kmdyV0xQsFbXpNtPuMWs_kKO8C_Tfe6g_dl5Z-WSF9vM9AZ6DjYMdzrEEayVY29WJNth0K_Dqzxa8NS3FMWO4rvsJ4dHDxjTXeYpLkjcf919f-w1u1cXD8mfcQpS6hiTP4j0Nd0gL7okZs6NcrO3WyXukpOONR-K_9Ppzt7tpaEicEMr5XcvPgfO_HzKePu5_lLFrrTb71DiZoGfsrllVzij_1cffgJAP-WxfqIjWAH3A1fvAG7d_IvSHWHSKYsoXV28v3jK3ePOtQIpl7Okm0qPad3M9YVq6VM1yWzvwuaWXt37RWhiRvTkiv-0W8Cnc4Ki9Qevg5G_EUI7xHW8j1mXRUVPdNFmJT97zSA&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=aPFTxA02OBGW6hJuebpsoA%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios profesionales,2023-09-20 00:00:00
Jefe de Nuevas Obras y Proyectos de Infraestructura Hospitalaria,Clínica Universitaria Reina Fabiola,"Córdoba, Córdoba, Argentina ",De 1.001 a 5.000 empleados,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3723274171/?eBP=CwEAAAGKs9ytnhw8djLTH5ynW_nUQHW5wAvl4Pw4IdIeA-MBJ7su4APsiM1QaCDttSF9LNXk56qFPCaDXBuuGFttRYfz_LLElN9PxAKSZFDrT_zq5ZM2N-z2EeIyTV_r7eMmWHM1yJnN4zTDenxPM0C8g7IxNaD3uGu1WDx5E5XillFe3RQBq-cxJxDAhMsyzkRYq3caFdBzwSRekLtlc1c-pkFW199MyAjOayCp5_QIM2b_4q5I-hf8-gW93TLS7c2N3Pp4mrYqgFt0FkhbV38YgpPTGOtXbvFtDfbM-5klnwsQST6c4CdxXGKwnOsLdswm8hifOus8QbFFjRKJcZH0ouWhlGA7uHV7ywPTQQ4Fcs2X5D1_5W-eMjPYn2S1GhmQ2G2jTMs&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=My1i%2FUT9hfI5to%2FgZdXcug%3D%3D&trk=flagship3_search_srp_jobs,Presencial,Dato no encontrado,2023-09-20 00:00:00
Principal Data Architect,Caylent,Argentina ,De 201 a 500 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3724563612/?eBP=CwEAAAGKs9ytnnk3HbepGw_tjy1PhOgOm1jki-C8mD3QwL_6Ilrq5WTxvRaVgIrXRyQQyZQuthVh2ydXUI8dJy-eoOj4zuMIh7LfjW9nyhEgNwyCgU5My5FTCAM1lI6eBA8uELmLXhXodpITS0eaQYVngxMfOljzaYngZTbfvdT_sFZZWgg4G24Pqo0vDqSAYWFFvcpS-wbGPwvm6uO5GIci_p0M-6Poeph4lwK12eiGh0TYtS_nwYOgqqdafOX8sHgcv0B0WyZhVJj6ND-ysHXum2t_yDwpvqrjxFF4hFJPbT3mocLAklwk75DfyXXp6-EXhhHdqfSQg_yxg6UOEZnjxpelXZ3tzDHt1-Qp9NqTU_1HAuoXSeTEHKNrbyc_tGvo4ECA_ToEHA&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=EK8p8tTJemYNyg1o83GiLQ%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios y consultoría de TI,2023-09-19 00:00:00
Data Lake Software Engineer III,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",Más de 10.001 empleados ,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3693538059/?eBP=CwEAAAGKs9ytnqSqlRuNaNZ-Ln5Y4taKPKQM4_0gfyJiJ-UKt50TCyXmgfRdLUtI6snrTpXWQ9DR0S2szferr9XkA0Dfv46eM8sQwrUsPf8SNnCDC1mDkFRJN4416XrytUlQsd_q9Wbb9qt54BJ_Hg9xdY8_2_26CLErwJ4oyXlHgI2BVHsTi4j153m-ozReg_cqwdYfZ6YBSqvSJmrFfmOIiFKpwO8ytf9VMwXK8CQ0foXNED28xnO75iwRRLZIBYVjwvY4NXwm1ZjbDXmN-F_iCxTdLym8EUcb_Mh9JgVz2MYO-d8CddbdNTLyjWxMer_1cEe1YT0BZFL1nYE0Ete9Vb9FjMwtLLptgQY8f0p1PR9P9rXVdq-ff0wmiEpxlY8R9QJD&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=PK8TduxYcfQ8zWjqN%2F%2Bz%2BA%3D%3D&trk=flagship3_search_srp_jobs,Dato no encontrado, Servicios financieros,2023-09-20 00:00:00
180CO | OSS ENGINEER,Cona Consultores,"Provincia de Buenos Aires, Argentina ",De 51 a 200 empleados ,Jornada completa · Intermedio,"['Comunicación', 'Resolución de problemas', 'Diseño de soluciones técnicas', 'Infraestructura de tecnologías de la información', 'Inglés', 'Inventario', 'Nivel de servicio de contratos', 'Presentaciones', 'Seguimiento', 'Tecnología de Cisco']",https://www.linkedin.com/jobs/view/3724966147/?eBP=CwEAAAGKs9ytnkS8rvWVnqDqMCCRngNB7WTJcJNNdow1FQobBwZpzimTsxZ0AzUtmEo1EHL0-7HzZKz5oK34Q8Ze302LiVifNuDB3iLxj7ArkVfuRAlWUlhkVw0333WnqiGirjU0lFVnSNY1iq7e_SJAN60vfeHwjH_EuHxGiuTbHLOOMvcqmpjdu7pq5lk8DQBv5EI35IeTxbctPJMJ8OJrONSjCW1m7hDBTm5_cKFEgOhF8hw_X5zqIo1w7ph1UN-5SLGmWdlHBHRKVSl0H-0-pXSkiWmxYC21E6wpLERD6vlKqXDioNcUuM2n25jW573MB08CvwHs0kJEjBHWP1gek81SuaQUvr1gokHDisLfbHXMknrHa_qn6nOJSQl1ABdL5zC-iugIQg&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=OQUAybWmW%2FECY%2BsbopTTIg%3D%3D&trk=flagship3_search_srp_jobs,Presencial, Servicios de recursos humanos,2023-09-20 00:00:00
"MLOps Engineer – London, United Kingdom (M/F)",Astek,"Londres, Catamarca, Argentina",De 5.001 a 10.000 empleados ,Contrato por obra · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3723236174/?eBP=CwEAAAGKs9ytn86lRRXaxC6XKLuxbKwUIF3PLfXBi7LV9pddFgPqHXZTFIfnm0mS1JiLtkotbQSz8XIv_yh-S1KL8EPopUK95ZMsFX5sC5_jI0pLX5ZdRQtGd5OyOyaVmwXGuGN8xrwbbCRXiYhd35RyviANzpmGjxEVy-ZuqPWdzmPfe0jnFyUGqBF1SXOr_nzewyE4Ta4mwPd2pRs9tgViToM2WZyG9z_XF-1wlw48d9qvfwpFUh8LC75V3LxAnhjUJLmejjSdaW8hOQAfLVsNyq69cXaE2iWO3Lrh1hd_0rVluJIS3hDBuKlIypST_X-zBE1rSz921j0ZiC_OvwEUTmmyMCr6shoCPRdq0jF_377AiFlR8tr3NOg6jxLCWK_qZ1CaXN4&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=HtyD4b2F4HrBjy2rrp%2Fz6A%3D%3D&trk=flagship3_search_srp_jobs,Dato no encontrado, Servicios y consultoría de TI,2023-09-20 00:00:00
Senior Strategist,Havas Argentina,"Provincia de Buenos Aires, Argentina ",De 201 a 500 empleados ,Jornada completa · Intermedio,"['Comunicación', 'Microsoft Excel', 'Microsoft PowerPoint', 'Panel de control', 'Capacidad de análisis', 'ComScore', 'Marketing', 'Presentaciones', 'Publicidad', 'Redacción']",https://www.linkedin.com/jobs/view/3725075297/?eBP=CwEAAAGKs9ytn9QcMJujcSnyotuKquuoxgs4eJ9dRTSPyDuz38zyL8v5YuGjUiQc8jwcUT_gPAByRRGeEi8kKNfeU-2bEr1TnIw_018NrBdvzPjcIPr7eXkNayE2FSrKJU0Lg388XA-pfe9Ip24M6PCK5oQ8xLMqTH5OsakfmkhBvhOWbjcwxj8WtjWAFfQXsWejWfsIKrXn7xfNjXBkMod3RYA2jvZprtxgfhY-6LDib4xgX8ap0wMydLCLg_t2dxOGcWH0XPudt3fSJpqCSimGnsJToG5xK2Wd83Wa8CMqvKysiPW-6_thAt80sf_vUlDhjuyA5S8wtTwVmM9vMEIvUmzJ5LuZ2G61vzw7TZ-PHXCfVmDY8Pt_is3F2Fkkb__d35GaLRZ0eA&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=a2zRnMRl7oZAlCXmU7PvFg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Servicios de publicidad,2023-09-20 00:00:00
Staff Engineer (International),"Varsity Tutors, a Nerdy Company",Argentina ,De 501 a 1.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3725052274/?eBP=CwEAAAGKs9ytnzAIFI318A4afIFhzUWIZd3FCzJDuUoCklQRV0MfVwUb_Agrz-_zd9X0ajEXdzy2ZtxMnmByDo8DyiEp73bPMsCEUoBUO5oJniy2VCawlRujdAji_tg3LYmzkDVeNCa7Zz-jcti1mwpexzRYL0DMFleDHy8-ePm46LCmtHI8LllwI2qPCYK8Z8aGJL-sg_Gq-gX91i5-ecdh3qaDIUKkRt1EcNmasvez27fweQN6jzZnvoCU_QC_OAzBT-Dsv9ypu2q8ctoczctjRCB2H0okxbFwEsAwbFFGp4AalHguNO-plQpXZ0wtegEyTLd3N2hnldr8w9mrMu3oUs88izos7Ei-Zo3d3B9lFIJMyJ04hZ4FJ4WBLMexzgegyguvUJahlA&refId=zCefCQABH%2FgQJWHGyqSVfg%3D%3D&trackingId=ruH4M0Q1gz%2Fsr5eg0PgdrA%3D%3D&trk=flagship3_search_srp_jobs,En remoto," Tecnología, información e internet",2023-09-20 00:00:00
