titleJobs,comanyName,companyLocation,employeeRank,workType,skill,link,workModality,industry ,date
Data Scientist,TinyBytes,Argentina ,De 11 a 50 empleados,Jornada completa,"['Aprendizaje automático', 'Ciencia de datos', 'Ciencias de la computación', 'Python', 'SQL', 'Análisis cuantitativo', 'C++', 'Hadoop', 'Java', 'Modelado de datos', 'Modelos predictivos']",https://www.linkedin.com/jobs/view/3719640681/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=FaZmJIwJScsfxeYS4RxkKg%3D%3D&trk=flagship3_search_srp_jobs,En remoto,Dato no encontrado,2023-09-18
Gerente de operaciones,La Fonte D'Oro,Buenos Aires y alrededores ,De 201 a 500 empleados,Jornada completa,"['Analítica de datos', 'Aptitudes para la supervisión', 'Coffee Shops', 'Comercial', 'Gestión de pérdidas y ganacias', 'Gestión operativa', 'Mentoría', 'Operaciones', 'Relaciones interpersonales']",https://www.linkedin.com/jobs/view/3715813639/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=uzDm3z4EsCAkQ9qXfG6p0A%3D%3D&trk=flagship3_search_srp_jobs,Presencial,Dato no encontrado,2023-09-18
Research Analyst,TheMindCo,Buenos Aires y alrededores ,De 11 a 50 empleados,Jornada completa,"['Análisis de datos', 'Microsoft Excel', 'Microsoft PowerPoint', 'Trabajo en equipo', 'Capacidad de análisis', 'Comentarios', 'Conocimientos comerciales', 'Investigación', 'Investigación cualitativa', 'VBA para Excel']",https://www.linkedin.com/jobs/view/3719615921/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=%2F9UhetGh%2BGneR6sDKpnwPw%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,Dato no encontrado,2023-09-18
Research Analyst Sr,Happy Together,Buenos Aires y alrededores ,De 51 a 200 empleados,Jornada completa,Dato no encontrado,https://www.linkedin.com/jobs/view/3718996887/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=aSitNNXQow3jxhAhCHRWpw%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,Dato no encontrado,2023-09-18
ANALISTA PLANIFICACION ESTRATEGICA DE PRECIOS,YPF SA,Buenos Aires y alrededores ,Más de 10.001 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3719685529/?eBP=CwEAAAGKqhxiqX7zPApPJmGKxXRIyeKxNRc1MrOpwKP6crCyeC2Rp-S0BNVLae658owKimLKZUs42gogEZxRpptsbQkJ2blKlb2Ey4X16aGwS5lpSUt50xju56stJO4c1VwwTnzTMk_Sirz94SFUDzAuP_FDtt3hWpvT8QHw277f28bXHSmsMpB0cpIs_NaUCXa8nF1_pQyas4Nvv-nWnvSnCcU_nCVhOGY_q3fAM48lnGl0Unwm7oraJP26nRLt-aPmwAyPstC26OMq444oBFy2OBgQIZRLYPC9pN3ZVtPtK19vX4cVsnZVGWrRRLOoaBOscoZQ2C27TZbHSYAaXidSO-j_NV1E2ieUGZiAA4A7O9wonKKuQaij0dI7nbH5Os-i0-rN1jTBU8BJ&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=1zC7Sh8Hpo%2BnWSYWTn8sPQ%3D%3D&trk=flagship3_search_srp_jobs,Híbrido, Petróleo y gas,2023-09-18
Android + iOS Developer,Clevertech,"Córdoba y alrededores, Argentina ",De 501 a 1.000 empleados ,Jornada completa · Intermedio,"['Metodologías ágiles', 'Desarrollo de Android', 'Desarrollo de aplicaciones móviles', 'Inglés', 'Java', 'JavaScript', 'Lean Startup', 'Objective-C', 'Swift (lenguaje de programación)', 'iOS']",https://www.linkedin.com/jobs/view/3723699056/?eBP=CwEAAAGKqhxiqWTa5HTlIIVBTi-1h2rc08vyTX91mRxJCG2xIaTuFJIL9r8_5_An0yIXQU18N1ad6ncBwtf-kiqur22Fu9nvx3gyfhK7Xj6KO6h5zqnt22uR_LzGhvTTsa7eIRVTKdVR3YlZk-LsoNbF_PJ6j2fmE-mrj-jQurArE-XveEPd8BoPBUJeO4lVbjJy2PWfUX0Hp8_EZHJ6_UoFiIKLOvuOLKttvyjsOmFbCSbR1RuWUFR5KvmGrRHU6EY1x66tGm_HQm7TZn6ReScSLu_GSz6h-bWUdky3Dxoa6tKS6Lk9Ip8ZiSvbdV9IP9Nub2aR6wNEn3Acns0PxlsQnxoK1etZN1Qiuphj&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=abAS%2BN2EUa3tYlpPpJs%2FEg%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
Senior Python Engineer,Clevertech,"Córdoba y alrededores, Argentina ",De 501 a 1.000 empleados ,Jornada completa · Intermedio,"['Ingeniería', 'Microsoft Office', 'Python', 'Resolución de problemas', 'Django', 'Django REST framework', 'Grit', 'Inglés', 'Programación de aplicaciones']",https://www.linkedin.com/jobs/view/3723721025/?eBP=CwEAAAGKqhxiqdXrZBLAJF9JZq-ysUvzYRSB_lTAGnJXx2VcdN0ckK--KEKvplme0uy5FO5DLxU7Tal8qARW8khTCChNureShZ3erZoWzOwXNUPkIE0UYL45A_O-8KDHgmNDHYyVWErIDy0oC-rnvBiCRUPWNkEgOMtrtS7qn_Z9sf7s75iQXb1rQHn6hVaFHWwHCFWy8Qi_AokrG5hjEbHo2I3PezGkF67zbaA2RCWjOdfPEzGuNOzEIzxfdHrIOEUQ4Ks6i20J96hPymiLH6tNfTC4D-ng2rVc5NAHZvXORxIJrVaVk8lyvgtBChEQGcamr7_qiNr3Lbvv2qOHt1BfhOZ23GZDwJyF-g&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=q3%2BRR7xVJlZ5Sg7aW7XDpw%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
Senior Python Engineer,Clevertech,"Provincia de Buenos Aires, Argentina ",De 501 a 1.000 empleados ,Jornada completa · Intermedio,"['Ingeniería', 'Microsoft Office', 'Python', 'Resolución de problemas', 'Django', 'Django REST framework', 'Grit', 'Inglés', 'Programación de aplicaciones']",https://www.linkedin.com/jobs/view/3723717665/?eBP=CwEAAAGKqhxiqYy0cuRLH9bChfCsgzdKaT37pFcHpz9wmJl1yNTG_AVzv11Uv6NBX6zF2RiKzAig8FIJKoggWmWuPctxrvRlaC9ibCviiigUQFYyoJNpF4yWTV3nLcFqTBbrljdp1-C0YJD0NbxnLC_HvG7kddSq56TspxWFH1gEs7JenpMryrjCwvXx5om2WqEOnzLspKhh8QQDuL1WxGPiFW1W-ElyVh2eazpey29xrZl8SFGXZQRLO_0qGwjbBaesLonE9-FKclAbqQASeIstjbgcWksm9xJlte3WDAKhwtRMyDvVN-1ZWkkXFVwUcUCM1crj2k0da8ZwQo_elyi5_-taIaELQazaV8_S&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=3Kn5bNQ6kryJhVpzYdHA4w%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
iOS Developer,Clevertech,Buenos Aires y alrededores ,De 501 a 1.000 empleados ,Jornada completa · Intermedio,Dato no encontrado,https://www.linkedin.com/jobs/view/3723692767/?eBP=CwEAAAGKqhxiqTT35Z4Y4foourPNqGjlAkoZhWluZyLqwBLypB9GspsBkxmNMLarpJYI6pF7xp5mM9LRY4DPxOZXIrICfNksuCH5joOOKfT9xUGl6TBPDRvbbtszrCu5dOMveX_RU_m9KNiWXoJjrxfTlPVHxyVvpDWJaRhPPQNqjERiEXwdmAVYGq7q6BCMfzT2a417bTGvJGFzlMcY8gkVdLkhB6R2h9fILZUWmU1lGdkywMX41lB_RXMUReyMceiachVGpWlbrCi7_hyz6-DsDlyh4IXE7tc2WTLAf_-oa2UQbzTziqNU1susN911rFhqn32zleRfGWenrV_6UuJu1bmZtbKI8oPAlcKqgXZ2Kk0WEM0IsLqzxTFd7N43vMtOOBdi2cBekIN1&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=Fn6HrekYjEb9C2a1ecxtbQ%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Servicios de TI y consultoría de TI,2023-09-18
Peformance Engineer,Consensys,Argentina ,De 501 a 1.000 empleados ,Jornada completa · Sin experiencia,Dato no encontrado,https://www.linkedin.com/jobs/view/3719662565/?eBP=CwEAAAGKqhxiqWagyi872J6evPYwkuBMfEZjH4lkWrzxYVr_7dRRAzgMmqZJjM9nL8A-tF-nRpWAWYSb6Lo7JBu4lHmu9_ZSbeV6bzHq2Eqpvzq2Ts92S3IEfq1qEy4i-BVjv0KB6UOQsCC2nT8_3B-eOjZqe9hw_ogAyCoi2wkxSIGvGdTE_p5CX2wx_RFVf6ZBoRARTopQ9QqBkqzuMenqO2nHZVE8YxJLY5cax0jHXExytDKkQ0RLIxHKppiMaCY2UOqG_fkdCQUGEn8d07T1MbBRebgp46rs7_gjILPRGcH7aXZo1JYu73HSuA613VVWw_4Ur_hJGtiQ5xDP43sb2MoRqpRyftefD5jC&refId=iK%2FVw%2Bb3gZe3GJdQeLRspw%3D%3D&trackingId=t6UQMnmLcgXx78aabKVpgw%3D%3D&trk=flagship3_search_srp_jobs,En remoto, Desarrollo de software,2023-09-18
